,train,val,test
0,slide_13,slide_267,slide_305
1,slide_109,slide_223,slide_233
2,slide_110,slide_478,slide_70
3,slide_113,slide_366,slide_395
4,slide_114,slide_153,slide_232
5,slide_116,slide_405,slide_349
6,slide_118,slide_496,slide_350
7,slide_14,slide_419,slide_11
8,slide_119,slide_318,slide_427
9,slide_120,slide_74,slide_400
10,slide_121,slide_44,slide_99
11,slide_122,slide_45,slide_204
12,slide_123,slide_337,slide_253
13,slide_124,slide_424,slide_254
14,slide_127,slide_421,slide_260
15,slide_128,slide_235,slide_404
16,slide_130,slide_463,slide_315
17,slide_132,slide_117,slide_12
18,slide_134,slide_287,slide_468
19,slide_135,slide_172,slide_75
20,slide_136,slide_77,slide_168
21,slide_137,slide_112,slide_492
22,slide_16,slide_497,slide_403
23,slide_139,slide_133,slide_367
24,slide_141,slide_289,slide_152
25,slide_142,slide_416,slide_498
26,slide_143,slide_60,slide_240
27,slide_144,slide_234,slide_167
28,slide_145,slide_161,slide_218
29,slide_146,slide_480,slide_200
30,slide_17,slide_472,slide_108
31,slide_150,slide_473,slide_385
32,slide_151,slide_344,slide_281
33,slide_154,slide_255,slide_278
34,slide_155,slide_273,slide_279
35,slide_156,slide_38,slide_2
36,slide_157,slide_36,slide_111
37,slide_160,slide_239,slide_238
38,slide_162,slide_389,slide_131
39,slide_165,slide_30,slide_7
40,slide_166,slide_370,slide_0
41,slide_171,slide_346,slide_1
42,slide_20,slide_55,slide_428
43,slide_173,slide_241,slide_418
44,slide_174,slide_191,slide_295
45,slide_175,slide_192,slide_355
46,slide_176,slide_169,slide_447
47,slide_177,slide_170,slide_164
48,slide_179,slide_22,slide_407
49,slide_180,,slide_408
50,slide_21,,
51,slide_183,,
52,slide_184,,
53,slide_185,,
54,slide_186,,
55,slide_194,,
56,slide_197,,
57,slide_199,,
58,slide_202,,
59,slide_205,,
60,slide_207,,
61,slide_208,,
62,slide_209,,
63,slide_210,,
64,slide_211,,
65,slide_212,,
66,slide_213,,
67,slide_214,,
68,slide_217,,
69,slide_3,,
70,slide_4,,
71,slide_221,,
72,slide_222,,
73,slide_224,,
74,slide_225,,
75,slide_226,,
76,slide_227,,
77,slide_228,,
78,slide_229,,
79,slide_25,,
80,slide_230,,
81,slide_231,,
82,slide_236,,
83,slide_237,,
84,slide_26,,
85,slide_242,,
86,slide_243,,
87,slide_244,,
88,slide_247,,
89,slide_248,,
90,slide_250,,
91,slide_251,,
92,slide_252,,
93,slide_27,,
94,slide_256,,
95,slide_257,,
96,slide_259,,
97,slide_261,,
98,slide_28,,
99,slide_29,,
100,slide_268,,
101,slide_270,,
102,slide_271,,
103,slide_272,,
104,slide_274,,
105,slide_275,,
