,train,val,test
0,slide_109,slide_242,slide_175
1,slide_110,slide_243,slide_96
2,slide_112,slide_28,slide_144
3,slide_113,slide_29,slide_52
4,slide_114,slide_16,slide_268
5,slide_116,slide_244,slide_56
6,slide_117,slide_67,slide_71
7,slide_118,slide_8,slide_476
8,slide_14,slide_411,slide_340
9,slide_120,slide_130,slide_199
10,slide_121,slide_405,slide_324
11,slide_122,slide_448,slide_184
12,slide_123,slide_49,slide_423
13,slide_124,slide_329,slide_12
14,slide_127,slide_472,slide_25
15,slide_128,slide_473,slide_316
16,slide_132,slide_154,slide_27
17,slide_134,slide_352,slide_84
18,slide_135,slide_88,slide_385
19,slide_136,slide_89,slide_413
20,slide_139,slide_75,slide_368
21,slide_141,slide_137,slide_210
22,slide_142,slide_50,slide_211
23,slide_143,slide_54,slide_366
24,slide_145,slide_359,slide_133
25,slide_146,slide_119,slide_13
26,slide_17,slide_461,slide_442
27,slide_150,slide_247,slide_452
28,slide_152,slide_248,slide_294
29,slide_153,slide_336,slide_151
30,slide_155,slide_489,slide_35
31,slide_156,slide_490,slide_31
32,slide_157,slide_358,slide_345
33,slide_160,slide_496,slide_189
34,slide_161,slide_300,slide_36
35,slide_162,slide_48,slide_34
36,slide_165,slide_355,slide_80
37,slide_166,slide_83,slide_265
38,slide_167,slide_126,slide_15
39,slide_168,slide_429,slide_43
40,slide_171,slide_477,slide_357
41,slide_172,slide_322,slide_147
42,slide_20,slide_351,slide_264
43,slide_173,slide_97,slide_178
44,slide_174,slide_255,slide_325
45,slide_176,slide_245,slide_326
46,slide_177,slide_246,slide_487
47,slide_179,slide_195,slide_488
48,slide_180,slide_196,
49,slide_21,slide_241,
50,slide_183,slide_437,
51,slide_185,slide_291,
52,slide_186,slide_444,
53,slide_194,,
54,slide_197,,
55,slide_200,,
56,slide_202,,
57,slide_204,,
58,slide_205,,
59,slide_207,,
60,slide_208,,
61,slide_209,,
62,slide_212,,
63,slide_213,,
64,slide_214,,
65,slide_217,,
66,slide_3,,
67,slide_4,,
68,slide_218,,
69,slide_221,,
70,slide_222,,
71,slide_223,,
72,slide_224,,
73,slide_225,,
74,slide_226,,
75,slide_227,,
76,slide_228,,
77,slide_229,,
78,slide_230,,
79,slide_231,,
80,slide_232,,
81,slide_233,,
82,slide_234,,
83,slide_235,,
84,slide_236,,
85,slide_237,,
86,slide_26,,
87,slide_240,,
88,slide_250,,
89,slide_251,,
90,slide_252,,
91,slide_253,,
92,slide_254,,
93,slide_256,,
94,slide_257,,
95,slide_259,,
96,slide_260,,
97,slide_261,,
98,slide_267,,
99,slide_270,,
100,slide_271,,
101,slide_272,,
102,slide_274,,
103,slide_275,,
104,slide_276,,
105,slide_277,,
106,slide_280,,
107,slide_284,,
108,slide_285,,
109,slide_286,,
110,slide_287,,
111,slide_288,,
112,slide_289,,
113,slide_292,,
114,slide_293,,
115,slide_296,,
116,slide_297,,
117,slide_298,,
118,slide_301,,
119,slide_305,,
120,slide_307,,
121,slide_308,,
122,slide_312,,
123,slide_313,,
124,slide_314,,
125,slide_315,,
126,slide_317,,
127,slide_318,,
128,slide_319,,
129,slide_320,,
130,slide_323,,
131,slide_327,,
132,slide_328,,
133,slide_5,,
134,slide_330,,
135,slide_331,,
136,slide_332,,
137,slide_333,,
138,slide_334,,
139,slide_335,,
140,slide_337,,
141,slide_341,,
142,slide_347,,
143,slide_348,,
144,slide_349,,
145,slide_350,,
146,slide_353,,
147,slide_354,,
148,slide_356,,
149,slide_360,,
150,slide_365,,
151,slide_367,,
152,slide_369,,
153,slide_371,,
154,slide_372,,
155,slide_373,,
156,slide_374,,
157,slide_39,,
158,slide_376,,
159,slide_377,,
160,slide_378,,
161,slide_379,,
162,slide_380,,
163,slide_382,,
164,slide_383,,
165,slide_384,,
166,slide_40,,
167,slide_386,,
168,slide_387,,
169,slide_388,,
170,slide_390,,
171,slide_393,,
172,slide_394,,
173,slide_395,,
174,slide_396,,
175,slide_397,,
176,slide_398,,
177,slide_400,,
178,slide_401,,
179,slide_402,,
180,slide_403,,
181,slide_404,,
182,slide_406,,
183,slide_42,,
184,slide_409,,
185,slide_410,,
186,slide_414,,
187,slide_415,,
188,slide_416,,
189,slide_417,,
190,slide_419,,
191,slide_420,,
192,slide_421,,
193,slide_424,,
194,slide_426,,
195,slide_427,,
196,slide_44,,
197,slide_45,,
198,slide_430,,
199,slide_431,,
200,slide_439,,
201,slide_6,,
202,slide_46,,
203,slide_443,,
204,slide_445,,
205,slide_446,,
206,slide_47,,
207,slide_455,,
208,slide_456,,
209,slide_459,,
210,slide_462,,
211,slide_463,,
212,slide_464,,
213,slide_465,,
214,slide_466,,
215,slide_467,,
216,slide_468,,
217,slide_469,,
218,slide_478,,
219,slide_479,,
220,slide_480,,
221,slide_483,,
222,slide_491,,
223,slide_492,,
224,slide_497,,
225,slide_498,,
226,slide_51,,
227,slide_53,,
228,slide_58,,
229,slide_59,,
230,slide_60,,
231,slide_62,,
232,slide_64,,
233,slide_65,,
234,slide_66,,
235,slide_68,,
236,slide_70,,
237,slide_74,,
238,slide_77,,
239,slide_78,,
240,slide_79,,
241,slide_81,,
242,slide_82,,
243,slide_11,,
244,slide_87,,
245,slide_90,,
246,slide_91,,
247,slide_92,,
248,slide_94,,
249,slide_95,,
250,slide_98,,
251,slide_99,,
252,slide_100,,
253,slide_105,,
254,slide_106,,
255,slide_107,,
256,slide_108,,
257,slide_0,,
258,slide_1,,
259,slide_2,,
260,slide_111,,
261,slide_115,,
262,slide_125,,
263,slide_129,,
264,slide_131,,
265,slide_138,,
266,slide_140,,
267,slide_148,,
268,slide_149,,
269,slide_158,,
270,slide_159,,
271,slide_18,,
272,slide_19,,
273,slide_163,,
