x,y
1024,3840
3072,54784
3072,55040
3072,55296
3072,55552
3072,55808
3072,56064
3328,54016
3328,54272
3328,54528
3328,54784
3328,55040
3328,55296
3328,55552
3328,55808
3328,56064
3328,56320
3584,53504
3584,53760
3584,54016
3584,54272
3584,54528
3584,54784
3584,55040
3584,55296
3584,55552
3584,55808
3584,56064
3584,56320
3840,53248
3840,53504
3840,53760
3840,54016
3840,54272
3840,54528
3840,54784
3840,55040
3840,55296
3840,55552
3840,55808
3840,56064
3840,56320
4096,52992
4096,53248
4096,53504
4096,53760
4096,54016
4096,54272
4096,54528
4096,54784
4096,55040
4096,55296
4096,55552
4096,55808
4096,56064
4096,56320
4096,56576
4352,52736
4352,52992
4352,53248
4352,53504
4352,53760
4352,54016
4352,54272
4352,54528
4352,54784
4352,55040
4352,55296
4352,55552
4352,55808
4352,56064
4352,56320
4352,56576
4608,52224
4608,52480
4608,52736
4608,52992
4608,53248
4608,53504
4608,53760
4608,54016
4608,54272
4608,54528
4608,54784
4608,55040
4608,55296
4608,55552
4608,55808
4608,56064
4608,56320
4608,59392
4608,59648
4608,59904
4608,60160
4864,51968
4864,52224
4864,52480
4864,52736
4864,52992
4864,53248
4864,53504
4864,53760
4864,54016
4864,54272
4864,54528
4864,54784
4864,55040
4864,55296
4864,55552
4864,55808
4864,56064
4864,56320
4864,59136
4864,59392
4864,59648
4864,59904
4864,60160
4864,60416
4864,60672
5120,51456
5120,51712
5120,51968
5120,52224
5120,52480
5120,52736
5120,52992
5120,53248
5120,53504
5120,53760
5120,54016
5120,54272
5120,54528
5120,54784
5120,55040
5120,55296
5120,55552
5120,55808
5120,56064
5120,56320
5120,59136
5120,59392
5120,59648
5120,59904
5120,60160
5120,60416
5120,60672
5120,60928
5376,51200
5376,51456
5376,51712
5376,51968
5376,52224
5376,52480
5376,52736
5376,52992
5376,53248
5376,53504
5376,53760
5376,54016
5376,54272
5376,54528
5376,54784
5376,55040
5376,55296
5376,55552
5376,55808
5376,56064
5376,56320
5376,59392
5376,59648
5376,59904
5376,60160
5376,60416
5376,60672
5376,60928
5376,61184
5632,50944
5632,51200
5632,51456
5632,51712
5632,51968
5632,52224
5632,52480
5632,52736
5632,52992
5632,53248
5632,53504
5632,53760
5632,54016
5632,54272
5632,54528
5632,54784
5632,55040
5632,55296
5632,55552
5632,55808
5632,56064
5632,59392
5632,59648
5632,59904
5632,60160
5632,60416
5632,60672
5632,60928
5632,61184
5632,61440
5888,50432
5888,50688
5888,50944
5888,51200
5888,51456
5888,51712
5888,51968
5888,52224
5888,52480
5888,52736
5888,52992
